ipv4,text,line
::E890:5A55:54FF:866/1,烽火通信16304.txt,52
573B:B495:5433:4::6300/1,华为12586.txt,412
5731:4B8:F33C::6300/1,华为12586.txt,421
573B:B495:5433:6::6300/1,华为12586.txt,430
5731:4B8:F33C:43::6300/1,华为12586.txt,439
573B:B495:5433:222::7:6300/1,华为12586.txt,450
573B:B495:5433:4::6314/1,华为12586.txt,479
5731:4B8:F33C::6314/1,华为12586.txt,488
573B:B495:5433:6::6314/1,华为12586.txt,497
5731:4B8:F33C:43::6314/1,华为12586.txt,506
573B:B495:5433:222::7:6314/1,华为12586.txt,517
573B:B495:5433:4::6318/1,华为12586.txt,545
5731:4B8:F33C::6318/1,华为12586.txt,554
573B:B495:5433:6::6318/1,华为12586.txt,563
5731:4B8:F33C:43::6318/1,华为12586.txt,572
573B:B495:5433:222::7:6318/1,华为12586.txt,583
573B:B495:5433:4::6384/1,华为12586.txt,625
5731:4B8:F33C::6384/1,华为12586.txt,635
573B:B495:5433:6::6384/1,华为12586.txt,644
5731:4B8:F33C:43::6384/1,华为12586.txt,653
573B:B495:5433:222::7:6384/1,华为12586.txt,664
795D:D6B6:755:6::D52/1,中兴208.txt,261
7953:6D6:D552::D52/1,中兴208.txt,282
795D:D6B6:755:6::BBA/1,中兴208.txt,319
7953:6D6:D552::BBA/1,中兴208.txt,340
795D:D6B6:755:6::EC2/1,中兴208.txt,377
7953:6D6:D552::EC2/1,中兴208.txt,398
795D:D6B6:755:6::AD6/1,中兴208.txt,435
7953:6D6:D552::AD6/1,中兴208.txt,456
795D:D6B6:755:6::9BE/1,中兴208.txt,493
7953:6D6:D552::9BE/1,中兴208.txt,514
8666::7,中兴5395.txt,21
8666::7,中兴5395.txt,23
8666::E/6,中兴5395.txt,518
8A6E:E7C9:4766::9/1,中兴5395.txt,554
8A6E:E7C9:4766:8::9/1,中兴5395.txt,569
8A6E:E7C9:4766:555::9/1,中兴5395.txt,584
8A6E:E7A9:465B:766::/6,中兴5395.txt,805
8A6E:E7A9:465B:776::/6,中兴5395.txt,806
8A6E:E7A9:465B:786::/6,中兴5395.txt,807
8A6E:E7A9:465B:796::/6,中兴5395.txt,808
8A6E:E7A9:C655:55E6::/6,中兴5395.txt,809
8A6E:E7A9:C655:5576::/6,中兴5395.txt,810
8A6E:E7A9:C655:55F6::/6,中兴5395.txt,811
8A6E:E7A9:C655:5566::/6,中兴5395.txt,812
8A6E:E7C9:4766::/6,中兴5395.txt,813
8A6E:E7C9:4766:76::/6,中兴5395.txt,814
